case_ID,segment_ID,segment_start_xft,segment_start_yft,segment_start_zft,segment_end_xft,segment_end_yft,segment_end_zft,thrustlbe,bank_angle,op_mode,isRolling,groundspeedft
JETFAC,1,-81363.282937365,-328077.753779698,18311.6033974035,-81363.282937365,-76348.2804069709,6000,533.14,0,A,0,469.798781753813
JETFAC,2,-81363.282937365,-76348.2804069709,6000,-81363.282937365,-40178.3824641675,4231,500.635208443733,0,A,0,457.554989907813
JETFAC,3,-81363.282937365,-40178.3824641675,4231,-81363.282937365,-20668.898488121,3276.8287383558,482.193802409231,0,A,0,450.812844227932
JETFAC,4,-81363.282937365,-20668.898488121,3276.8287383558,-81048.3282937365,-17079.7278617711,3100.61476296286,478.710381696168,0,A,0,449.556660628062
JETFAC,5,-81048.3282937365,-17079.7278617711,3100.61476296286,-80516.3940190725,-15092.4663638186,3000,476.71,0,A,0,448.837827345531
JETFAC,6,-80516.3940190725,-15092.4663638186,3000,-80257.8248047926,-14126.4736301883,3000,450.59,0,A,0,445.283578616937
JETFAC,7,-80257.8248047926,-14126.4736301883,3000,-80116.5874730022,-13598.8228941685,3000,450.59,0,A,0,443.330853964735
JETFAC,8,-80116.5874730022,-13598.8228941685,3000,-78594.3066954644,-10334.4492440605,3000,450.59,0,A,0,430.232539867961
JETFAC,9,-78594.3066954644,-10334.4492440605,3000,-76839.9932076261,-7828.28711857729,3000,450.59,0,A,0,418.786198226602
JETFAC,10,-76839.9932076261,-7828.28711857729,3000,-76527.4168466523,-7381.7494600432,3000,450.59,0,A,0,416.713736649424
JETFAC,11,-76527.4168466523,-7381.7494600432,3000,-73981.5334773218,-4835.86609071274,3000,450.59,0,A,0,402.75641635871
JETFAC,12,-73981.5334773218,-4835.86609071274,3000,-71835.3636810387,-3333.54723331456,3000,450.59,0,A,0,392.288817836266
JETFAC,13,-71835.3636810387,-3333.54723331456,3000,-71028.8336933045,-2768.97624190065,3000,450.59,0,A,0,388.282153683631
JETFAC,14,-71028.8336933045,-2768.97624190065,3000,-67764.4600431965,-1246.69546436285,3000,450.59,0,A,0,373.257047024345
JETFAC,15,-67764.4600431965,-1246.69546436285,3000,-66086.6979353712,-797.605512786614,3000,450.59,0,A,0,365.79143744593
JETFAC,16,-66086.6979353712,-797.605512786614,3000,-64283.5550755939,-314.95464362851,3000,450.59,0,A,0,357.59418925511
JETFAC,17,-64283.5550755939,-314.95464362851,3000,-60694.3844492441,0,3000,450.59,0,A,0,341.215367881672
JETFAC,18,-60694.3844492441,0,3000,-60282.8084025,0,3000,450.59,0,A,0,339.294057055594
JETFAC,19,-60282.8084025,0,3000,-59282.8084025,0,3000,417.9,0,A,0,334.555058638281
JETFAC,20,-59282.8084025,0,3000,-56291.3385825,0,3000,417.9,0,A,0,319.973525254281
JETFAC,21,-56291.3385825,0,3000,-55291.3385825,0,2947.506562,235.08,0,A,0,317.968564346469
JETFAC,22,-55291.3385825,0,2947.506562,-45625.0000025,0,2440.944882,230.29,0,A,0,298.1012250095
JETFAC,23,-45625.0000025,0,2440.944882,-44625.0000025,0,2388.451444,306.54,0,A,0,293.362226592188
JETFAC,24,-44625.0000025,0,2388.451444,-40084.5955996479,0,2150.5905868253,303.705,0,A,0,270.760849745719
JETFAC,25,-40084.5955996479,0,2150.5905868253,-35919.9475025,0,1932.414698,300.87,0,A,0,248.15947289925
JETFAC,26,-35919.9475025,0,1932.414698,-34919.9475025,0,1879.92126,765,0,A,0,246.519050292281
JETFAC,27,-34919.9475025,0,1879.92126,-29515.7480325,0,1596.784777,755.66,0,A,0,237.496726544688
JETFAC,28,-29515.7480325,0,1596.784777,-28515.7480325,0,1544.291339,5011.09,0,A,0,237.314457309875
JETFAC,29,-28515.7480325,0,1544.291339,-17951.4872108107,0,990.650949949955,4911.3316194065,0,A,0,235.336782526047
JETFAC,30,-17951.4872108107,0,990.650949949955,-12025.8485265636,0,680.106467767061,4854.47842823958,0,A,0,234.220167529225
JETFAC,31,-12025.8485265636,0,680.106467767061,-8030.73466252372,0,470.73484855778,4815.76875201084,0,A,0,233.464322508071
JETFAC,32,-8030.73466252372,0,470.73484855778,-5054.50889803764,0,314.760018140127,4786.72787945613,0,A,0,232.899648961704
JETFAC,33,-5054.50889803764,0,314.760018140127,-2694.97856222885,0,191.104296727934,4763.57866779134,0,A,0,232.451005028553
JETFAC,34,-2694.97856222885,0,191.104296727934,-710.828052571465,0,87.1210764494996,4744.0248527647,0,A,0,232.073064946521
JETFAC,35,-710.828052571465,0,87.1210764494996,0,0,49.8687664,4737,0,A,0,231.937516908281
JETFAC,36,0,0,49.8687664,952.0997375,0,3.28083989501312,4736.96716393686,0,A,0,231.92620886847
JETFAC,37,952.0997375,0,3.28083989501312,1256.2335958,0,3.28083989501312,4724.14,0,A,1,224.965721124031
JETFAC,38,1256.2335958,0,3.28083989501312,2270.51359032914,0,3.28083989501312,10000,0,A,1,207.78685201599
JETFAC,39,2270.51359032914,0,3.28083989501312,3141.54877862662,0,3.28083989501312,8750,0,A,1,178.441515900656
JETFAC,40,3141.54877862662,0,3.28083989501312,3869.33916069245,0,3.28083989501312,7500,0,A,1,149.096179785323
JETFAC,41,3869.33916069245,0,3.28083989501312,4453.88473652662,0,3.28083989501312,6250,0,A,1,119.75084366999
JETFAC,42,4453.88473652662,0,3.28083989501312,4895.18550612914,0,3.28083989501312,5000,0,A,1,90.4055075546563
JETFAC,43,4895.18550612914,0,3.28083989501312,5193.2414695,0,3.28083989501312,3750,0,A,1,61.0601714393229
